№;Термін українською;Визначення;Термін англійською;Пов'язані терміни (№)
1;Автономність;Властивість системи ШІ, що полягає в її здатності функціонувати самостійно без втручання людини. Системи ШІ можна охарактеризувати як системи «людина в циклі», «людина над циклом», або «людина поза циклом» залежно від рівня значущої залученості людини. Автономна система має набір інструментів до навчання, адаптації та аналітики для реагування на ситуації, які не були заздалегідь запрограмовані чи передбачені до розгортання системи.;Autonomy;2, 3, 5, 6, 8, 31, 42, 49, 50, 51, 58, 66, 76, 89, 92
2;Автоматизоване прийняття рішень;Процес прийняття рішення за допомогою інформаційних технологій з низьким рівнем залученості людини.;Automated decision-making;1, 3, 5, 49, 50, 51
3;Автоматичне прийняття рішень;Процес прийняття рішення за допомогою інформаційних технологій без участі людини.;Automatic decision-making;1, 2, 5, 49, 50, 51
4;Автоматичне машинне навчання;Підхід, що автоматизує процес створення й оптимізації моделей машинного навчання, та містить автоматичний вибір алгоритмів, налаштування гіперпараметрів та інженерію ознак, зменшуючи потребу в ручному втручанні експертів.;Automated machine learning (AutoML);27, 39, 52
5;Агент;Автономна сутність, яка аналізує своє середовище та вживає заходів для досягнення своїх цілей.;Agent;1, 2, 3
6;Адаптивність;Властивість систем ШІ, що полягає у здатності пристосовуватися до нових, незнайомих або змінних умов середовища чи завдань на основі взаємодії з вхідними даними. Адаптація може включати зміну вагових коефіцієнтів моделі або зміну внутрішньої структури самої моделі. Нова поведінка адаптованої системи може призводити до результатів, відмінних від результатів поведінки попередньої системи за однакових вхідних даних.;Adaptiveness;1, 8, 31, 42, 58, 66, 76, 89, 92
7;Аугментація даних;Техніка, за якої розмір та якість тренувального набору даних (датасету) збільшується шляхом зміни оригінальних тренувальних даних для створення нових тренувальних прикладів, щоб покращити моделі машинного навчання.;Data augmentation;52, 59, 63, 88, 93, 98
8;Аудитоспроможність;Властивість системи ШІ бути об'єктом детальної перевірки та аналізу функціонування (зокрема, алгоритмів, даних та процесів проєктування), процесів прийняття рішень та результатів роботи.;Auditability;1, 2, 3, 6, 31, 42, 58, 66, 76, 78, 89, 92
9;Біометричні дані;Персональні дані, отримані в результаті спеціальної технічної обробки, що стосується фізичних, фізіологічних чи поведінкових ознак фізичної особи, зокрема таких як, зображення обличчя чи дактилоскопічні дані, що дозволяють однозначно ідентифікувати або підтверджують однозначну ідентифікацію фізичної особи.;Biometric data;10, 11, 77
10;Біометрична верифікація;Автоматизована перевірка, що включає перевірку особи людини шляхом порівняння її біометричних даних із попередньо наданими біометричними даними.;Biometric verification;9, 11
